Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0085,INDIGO-ORG-0415,Performance management,,,
INDIGO-POJ-0085,INDIGO-ORG-0034,,,,
INDIGO-POJ-0085,INDIGO-ORG-0416,,,,
INDIGO-POJ-0085,INDIGO-ORG-0605,,,,
INDIGO-POJ-0086,INDIGO-ORG-0617,Performance management,,,
INDIGO-POJ-0086,INDIGO-ORG-0618,,,,
INDIGO-POJ-0087,INDIGO-ORG-0948,Performance management,,,
INDIGO-POJ-0087,INDIGO-ORG-0950,,,,
INDIGO-POJ-0087,INDIGO-ORG-0951,,,,
INDIGO-POJ-0087,INDIGO-ORG-0952,,,,
INDIGO-POJ-0087,INDIGO-ORG-0953,,,,
INDIGO-POJ-0087,INDIGO-ORG-0954,,,,
INDIGO-POJ-0087,INDIGO-ORG-0955,,,,
INDIGO-POJ-0087,INDIGO-ORG-0557,,,,
INDIGO-POJ-0087,INDIGO-ORG-0034,,,,
INDIGO-POJ-0088,INDIGO-ORG-0660,Performance management,,,
INDIGO-POJ-0088,INDIGO-ORG-0661,Performance management,,,
INDIGO-POJ-0088,INDIGO-ORG-0662,Performance management,,,
INDIGO-POJ-0088,INDIGO-ORG-0663,Performance management,,,
INDIGO-POJ-0088,INDIGO-ORG-0664,,,,
INDIGO-POJ-0088,INDIGO-ORG-0480,,,,
INDIGO-POJ-0088,INDIGO-ORG-0665,,,,
INDIGO-POJ-0088,INDIGO-ORG-0605,,,,
INDIGO-POJ-0089,INDIGO-ORG-0469,Performance management,,,
INDIGO-POJ-0089,INDIGO-ORG-0110,Performance management,,,
INDIGO-POJ-0089,INDIGO-ORG-0472,Performance management,,,
INDIGO-POJ-0089,INDIGO-ORG-0034,,,,
INDIGO-POJ-0089,INDIGO-ORG-0474,,,,
INDIGO-POJ-0090,INDIGO-ORG-0853,Other,Evaluator,,
INDIGO-POJ-0090,INDIGO-ORG-0859,Performance management,,,
INDIGO-POJ-0090,INDIGO-ORG-0852,Performance management,,,
INDIGO-POJ-0090,INDIGO-ORG-0856,Performance management,,,
INDIGO-POJ-0090,INDIGO-ORG-0605,Performance management,,,
INDIGO-POJ-0090,INDIGO-ORG-0858,,,,
INDIGO-POJ-0091,INDIGO-ORG-0414,Performance management,,,
INDIGO-POJ-0091,INDIGO-ORG-0556,Performance management,,,
INDIGO-POJ-0091,INDIGO-ORG-0557,,,,
INDIGO-POJ-0091,INDIGO-ORG-0164,,,,
INDIGO-POJ-0091,INDIGO-ORG-0560,,,,
INDIGO-POJ-0092,INDIGO-ORG-0515,Performance management,,,
INDIGO-POJ-0092,INDIGO-ORG-0516,Performance management,,,
INDIGO-POJ-0092,INDIGO-ORG-0517,Performance management,,,
INDIGO-POJ-0092,INDIGO-ORG-0618,,,,
INDIGO-POJ-0093,INDIGO-ORG-0103,Performance management,,,
INDIGO-POJ-0093,INDIGO-ORG-0856,,,,
INDIGO-POJ-0093,INDIGO-ORG-0605,,,,
INDIGO-POJ-0094,INDIGO-ORG-0326,Performance management,,,
INDIGO-POJ-0094,INDIGO-ORG-0327,Performance management,,,
INDIGO-POJ-0094,INDIGO-ORG-0605,,,,
INDIGO-POJ-0094,INDIGO-ORG-0329,,,,
INDIGO-POJ-0094,INDIGO-ORG-0331,,,,
INDIGO-POJ-0095,INDIGO-ORG-0092,Performance management,,,
INDIGO-POJ-0095,INDIGO-ORG-0034,,,,
INDIGO-POJ-0095,INDIGO-ORG-0094,,,,
INDIGO-POJ-0095,INDIGO-ORG-0095,,,,
INDIGO-POJ-0096,INDIGO-ORG-0092,Performance management,,,
INDIGO-POJ-0096,INDIGO-ORG-0034,,,,
INDIGO-POJ-0096,INDIGO-ORG-0094,,,,
