Project ID,Service Provision ID - (Value),Location - Name - (Value),Location - Postcode - (Value),Location - Country - (Value),Lat/Lng - Lat - (Value),Lat/Lng - Lng - (Value),Adminstrative geography - Name - (Value),Adminstrative geography - Code Type - (Value),Adminstrative geography - Code - (Value),Sources,Notes
INDIGO-POJ-0194,,Staffordshire County Council,ST16 2DH,GB,52.679935,-1.921781,,,,,
INDIGO-POJ-0194,,Dudley Council,DY1 1HF,GB,52.5,-2.08333,,,,,
INDIGO-POJ-0195,serviceprovision1,Birmingham,B1,GB,52.4862,-1.8904,,,,,
INDIGO-POJ-0195,serviceprovision2,Croydon,CR0,GB,51.3627,-0.0642,,,,,
INDIGO-POJ-0195,serviceprovision3,Durham,DH1,GB,54.786,-1.5682,,,,,
INDIGO-POJ-0195,serviceprovision4,Leeds,LS1,GB,53.8008,-1.5491,,,,,
INDIGO-POJ-0195,serviceprovision5,Nottingham,NG1,GB,52.9548,-1.1581,,,,,
INDIGO-POJ-0195,serviceprovision6,Rochdale,BL9,GB,53.6097,-2.1561,,,,,
INDIGO-POJ-0195,serviceprovision7,Surrey,GU10,GB,51.3148,-0.56,,,,,
INDIGO-POJ-0195,serviceprovision8,West Sussex,PO19,GB,50.825024,-0.383835,,,,,
INDIGO-POJ-0196,Apprentis d'Auteil,Gironde,,FR,44.8497,0.4502,,,,,
INDIGO-POJ-0197,serviceprovision1,"Bungoma, Kenya",,KE,0.569525,34.558376,,,,,
INDIGO-POJ-0197,serviceprovision2,"Busia, Kenya",,KE,0.46005,34.11169,,,,,
INDIGO-POJ-0197,serviceprovision3,"Homa Bay, Kenya",,KE,-0.52731,34.45714,,,,,
INDIGO-POJ-0197,serviceprovision4,"Kajiado, Kenya",,KE,-1.85238,36.77683,,,,,
INDIGO-POJ-0197,serviceprovision5,"Kakamega, Kenya",,KE,0.28422,34.75229,,,,,
INDIGO-POJ-0197,serviceprovision6,"Kilifi, Kenya",,KE,-3.63045,39.84992,,,,,
INDIGO-POJ-0197,serviceprovision7,"Kisii, Kenya",,KE,-0.680482,34.777061,,,,,
INDIGO-POJ-0197,serviceprovision8,"Kisumu, Kenya",,KE,-0.091702,34.767956,,,,,
INDIGO-POJ-0197,serviceprovision9,"Migori, Kenya",,KE,-1.06343,34.47313,,,,,
INDIGO-POJ-0197,serviceprovision10,"Mombasa, Kenya",,KE,-4.04374,39.658871,,,,,
