Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Maximum potential Outcome payment - Currency - (Value),Maximum potential Outcome payment - Amount - (Value),Maximum potential Outcome payment - Amount USD - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Total outcome payments made - Currency - (Value),Total outcome payments made - Amount - (Value),Total outcome payments made - Amount USD - (Value),Alterations to payment commitment - Description - (Value),Alterations to payment commitment - Reason - (Value),Sources,Notes
INDIGO-POJ-0113,INDIGO-ORG-0144,,,,,,,,,,,,,,
INDIGO-POJ-0113,INDIGO-ORG-0146,,,,,,,,,,,,,,
INDIGO-POJ-0113,INDIGO-ORG-0306,,GBP,1652917,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0053,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0054,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0113,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0056,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0057,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-0306,,,780000,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-1112,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-1111,,,,,,,,,,,,,,
INDIGO-POJ-0114,INDIGO-ORG-1108,,,,,,,,,,,,,,
INDIGO-POJ-0116,INDIGO-ORG-0306,,GBP,657068,,,,,,,,,,,
INDIGO-POJ-0116,INDIGO-ORG-0677,,GBP,117000,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0426,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0427,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0428,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0429,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0430,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0306,,GBP,1500000,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-0810,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-1070,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-1594,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-1595,,,,,,,,,,,,,,
INDIGO-POJ-0117,INDIGO-ORG-1596,,,,,,,,,,,,,,
INDIGO-POJ-0118,INDIGO-ORG-0115,,,,,,,,,,,,,,
INDIGO-POJ-0118,INDIGO-ORG-0306,,,,,,,,,,,,,,
INDIGO-POJ-0118,INDIGO-ORG-0808,,,,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0318,,,1020000,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0319,,,,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0320,,,,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0321,,,,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0306,,,303000,,,,,,,,,,,
INDIGO-POJ-0119,INDIGO-ORG-0115,,,697000,,,,,,,,,,,
INDIGO-POJ-0120,INDIGO-ORG-0495,,,5200000,,,,,,,,,,,
INDIGO-POJ-0120,INDIGO-ORG-0306,,,2000000,,,,,,,,,,,
INDIGO-POJ-0120,INDIGO-ORG-0115,,,1000000,,,,,,,,,,,
INDIGO-POJ-0121,INDIGO-ORG-0123,,,2250000,,,,,,,,,,,
INDIGO-POJ-0121,INDIGO-ORG-0130,,,,,,,,,,,,,,
INDIGO-POJ-0121,INDIGO-ORG-0211,,,,,,,,,,,,,,
INDIGO-POJ-0121,INDIGO-ORG-0212,,,,,,,,,,,,,,
INDIGO-POJ-0121,INDIGO-ORG-0213,,,,,,,,,,,,,,
INDIGO-POJ-0122,INDIGO-ORG-0123,,,,,,,,,,,,,,
INDIGO-POJ-0122,INDIGO-ORG-0124,,,,,,,,,,,,,,
INDIGO-POJ-0122,INDIGO-ORG-0125,,,,,,,,,,,,,,
INDIGO-POJ-0122,INDIGO-ORG-0126,,,,,,,,,,,,,,
INDIGO-POJ-0123,INDIGO-ORG-0123,,,1083550,,,,,,,,,,,
INDIGO-POJ-0123,INDIGO-ORG-0006,,,,,,,,,,,,,,
INDIGO-POJ-0124,INDIGO-ORG-0409,,GBP,,,,,,,,,,,,
INDIGO-POJ-0124,INDIGO-ORG-0306,,GBP,,,,,,,,,,,,
INDIGO-POJ-0126,INDIGO-ORG-0306,,GBP,1087554,,,,,,,,,,,
INDIGO-POJ-0126,INDIGO-ORG-1562,,,,,,,,,,,,,,
INDIGO-POJ-0127,INDIGO-ORG-0306,,GBP,491747,,,,,,,,,,,
INDIGO-POJ-0127,INDIGO-ORG-1089,,,,,,,,,,,,,,
INDIGO-POJ-0128,INDIGO-ORG-0306,,GBP,422493,,,,,,,,,,,
INDIGO-POJ-0128,INDIGO-ORG-0552,,,,,,,,,,,,,,
INDIGO-POJ-0129,INDIGO-ORG-0057,,,,,,,,,,,,,,
INDIGO-POJ-0129,INDIGO-ORG-0306,,GBP,420000,,,,,,,,,,,
INDIGO-POJ-0130,INDIGO-ORG-0265,,GBP,7100000,,,,,,,,,,,
INDIGO-POJ-0131,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0131,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0132,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0132,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0133,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0133,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0134,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0134,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0135,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0135,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0136,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0136,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0137,INDIGO-ORG-0088,,,,,,,,,,,,,,
INDIGO-POJ-0137,INDIGO-ORG-0171,,,,,,,,,,,,,,
INDIGO-POJ-0138,INDIGO-ORG-0047,,,3400000,,,,,,,,,,,
INDIGO-POJ-0139,INDIGO-ORG-0047,,,1900000,,,,,,,,,,,
INDIGO-POJ-0140,INDIGO-ORG-0047,,,3700000,,,,,,,,,,,
INDIGO-POJ-0141,INDIGO-ORG-0047,Government/Public Sector/Public Bank,GBP,1300000,,,,,,,,,,,
INDIGO-POJ-0142,INDIGO-ORG-0047,,,1200000,,,,,,,,,,,
INDIGO-POJ-0143,INDIGO-ORG-0047,Government/Public Sector/Public Bank,,,,,,,GBP,4504011,,,,,
INDIGO-POJ-0144,INDIGO-ORG-0047,,,2900000,,,,,,2500000,,,,,
