Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0085,investment6,INDIGO-ORG-0422,,,,,,,,,,,,,Recyclable grants,,
INDIGO-POJ-0086,investment1,INDIGO-ORG-0419,,,,,,,,,,,,,Senior debt,,
INDIGO-POJ-0086,investment2,INDIGO-ORG-0097,,,,,,,,,,,,,Senior debt,,
INDIGO-POJ-0086,investment3,INDIGO-ORG-0621,,,,,,,,,,,,,Subordinate debt,,
INDIGO-POJ-0087,investment1,INDIGO-ORG-0099,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0087,investment2,INDIGO-ORG-0959,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0087,investment3,INDIGO-ORG-0111,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0087,investment4,INDIGO-ORG-0960,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0087,investment5,INDIGO-ORG-0961,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0088,investment1,INDIGO-ORG-0668,,,,,,,,,,,,,loan,,
INDIGO-POJ-0088,investment2,INDIGO-ORG-0480,,,,,,,,,,,,,loan,,
INDIGO-POJ-0088,investment3,INDIGO-ORG-0665,,,,,,,,,,,,,loan,,
INDIGO-POJ-0089,investment1,INDIGO-ORG-0477,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0089,investment2,INDIGO-ORG-0478,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0089,investment3,INDIGO-ORG-0479,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0089,investment4,INDIGO-ORG-0099,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0089,investment5,INDIGO-ORG-0480,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0089,investment6,INDIGO-ORG-0481,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0089,investment7,INDIGO-ORG-0468,,,,,,,,,,,,,deferred services,,
INDIGO-POJ-0090,investment1,INDIGO-ORG-0860,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0090,investment2,INDIGO-ORG-0861,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0090,investment3,INDIGO-ORG-0862,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0090,investment4,INDIGO-ORG-0863,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0090,investment5,INDIGO-ORG-0110,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0090,investment6,INDIGO-ORG-0864,,,,,,,,,,,,,philanthropic investment,,
INDIGO-POJ-0091,investment1,INDIGO-ORG-0110,,,,,,,,,,,,,senior loan (jail bed outcome) ,,
INDIGO-POJ-0091,investment2,INDIGO-ORG-0562,,,,,,,,,,,,,senior loan (jail bed outcome) ,,
INDIGO-POJ-0091,investment3,INDIGO-ORG-0111,,,,,,,,,,,,,senior loan (jail bed outcome) ,,
INDIGO-POJ-0091,investment4,INDIGO-ORG-0563,,,,,,,,,,,,,senior loan (jail bed outcome) ,,
INDIGO-POJ-0091,investment5,INDIGO-ORG-0564,,,,,,,,,,,,,senior loan (jail bed outcome) ,,
INDIGO-POJ-0091,investment6,INDIGO-ORG-0167,,,,,,,,,,,,,senior loan (housing stability),,
